sample  gene_name       gene_count      total_mapped    ratio
A10     AtAGL15 2       200     0.010000
A10     AtARR1  5       200     0.025000
A10     AtARR10 0       200     0.000000
A10     AtCUC1  0       200     0.000000
A10     AtCUC2  0       200     0.000000
A10     AtESR1  0       200     0.000000
A10     AtFUSCA3        0       200     0.000000
A10     AtL1L   0       200     0.000000
A10     AtLEC2  0       200     0.000000
A10     AtPLT3  0       200     0.000000
A10     AtPLT5  0       200     0.000000
A10     AtPLT7  0       200     0.000000
A10     AtSERK2 0       200     0.000000
A10     AtWIND1 2       200     0.010000
A10     AtWIND3 0       200     0.000000
A10     AtWOX11 0       200     0.000000
A10     AtWOX12 0       200     0.000000
A10     AtWOX14 0       200     0.000000
A10     AtWOX2  0       200     0.000000
A10     AtWOX7  0       200     0.000000
A10     AtWOX8  0       200     0.000000
A10     AtWRI1  0       200     0.000000
A10     ClGIF1  0       200     0.000000
A10     ClGRF4  0       200     0.000000
A10     CsGIF1  14      200     0.070000
A10     F70     0       200     0.000000
A10     F71     0       200     0.000000
A10     F72     0       200     0.000000
A10     MtWOX9-1        1       200     0.005000
A10     SlPorK  61      200     0.305000
A10     SlREF1  0       200     0.000000
A10     SlWIND1 0       200     0.000000
A10     StGIF1  0       200     0.000000
A10     StGIF3X1        0       200     0.000000
A10     StGRF1  0       200     0.000000
A10     StGRF3  0       200     0.000000
A10     StGRF3L1        0       200     0.000000
A10     StGRF4L 2       200     0.010000
A10     StGRF8L1        0       200     0.000000
A10     StGRF8L2        0       200     0.000000
A10     StGRF9  0       200     0.000000
A10     StREF1  0       200     0.000000
A10     TaDOF3.4        0       200     0.000000
A10     TaDOF5.6        0       200     0.000000
A10     TaGIF1  0       200     0.000000
A10     TaGIF2  0       200     0.000000
A10     TaGIF3  0       200     0.000000
A10     TaGRF2  0       200     0.000000
A10     TaGRF3  0       200     0.000000
A10     TaGRF4  8       200     0.040000
A10     TaGRF5  0       200     0.000000
A10     TaGRF6  0       200     0.000000
A10     TaGRF7  0       200     0.000000
A10     TaGRF9  0       200     0.000000
A10     TaLAX1A 0       200     0.000000
A10     TaLBD17 0       200     0.000000
A10     ZmBBM   3       200     0.015000
A10     ZmGOLDEN2       0       200     0.000000
A10     ZmWUS   0       200     0.000000
A10     ZmWox2a 0       200     0.000000
A10     rClGRF4 0       200     0.000000
A10     rCsGRF4 0       200     0.000000
